"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Aguascalientes","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,14578236.751,15102483.871,17388077.914,NA
"Económico","Baja California","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,36271.997,36478.032,40902.165,NA
"Económico","Baja California Sur","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,31558.595,32926.883,35988.779,NA
"Económico","Campeche","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,852559.797,878718.647,976346.154,NA
"Económico","Chiapas","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,7919692.526,8797756.274,10016504.116,NA
"Económico","Chihuahua","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,105877.089,106089.872,117252.596,NA
"Económico","Ciudad de México","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2201.208,2144.983,2365.898,NA
"Económico","Coahuila de Zaragoza","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3120798.06,2844282.514,3268356.032,NA
"Económico","Colima","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,440321.631,479582.898,544306.042,NA
"Económico","Durango","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9265770.382,9570933.947,10536211.276,NA
"Económico","Guanajuato","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,8100516.978,7992574.847,8780850.512,NA
"Económico","Guerrero","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,504658.397,501439.141,523840.41,NA
"Económico","Hidalgo","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3240727.673,3334169.729,3679621.972,NA
"Económico","Jalisco","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,13954305.279,15168048.738,16684938.275,NA
"Económico","Michoacán de Ocampo","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2164930.061,2258756.731,2532447.813,NA
"Económico","Morelos","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2372051.83,2558241.47,2999502.078,NA
"Económico","México","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4301158.494,4668837.469,5247464.53,NA
"Económico","Nayarit","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1423934.665,1324521.574,1494741.89,NA
