"Tema","Indicador","aaa"
"Medio Ambiente","Áreas naturales protegidas de competencia todas las competencias","Anual"
"Económico","Aves Producción (toneladas)","Anual"
"Económico","Aves Valor de la Producción (miles de pesos)","Anual"
"Gobierno","Barometro de Información Presupuestal Estatal BIPE","Anual"
"Género","Brecha de ingresos por género #Con Lupa de Género (Porcentaje)","Anual"
"Medio Ambiente","Capacidad instalada en las PTARs  (Litros por segundo)","Anual"
"Social","Carencia por acceso a la seguridad social","Anual"
"Social","Carencia por acceso a los servicios de salud","Anual"
"Social","Carencia por calidad y espacios de la vivienda","Anual"
"Económico","Cera Producción (toneladas)","Anual"
"Económico","Cera Valor de la Producción (miles de pesos)","Anual"
,,
"Género","Cobertura de educación en la primera infancia #Con Lupa de Género (Porcentaje)","Anual"
"Social","Cobertura Media Superior","Anual"
"Social","Cobertura Preescolar","Anual"
"Social","Cobertura Primaria","Anual"
"Social","Cobertura Secundaria","Anual"
"Social","Porcentaje de Población Afiliada a servicios de salud","Anual"
"Social","Personal Médico","Anual"
"Social","Índice de Progreso Social","Anual"
"Social","Tasa de Mortalidad Infantil (Proyección)","Anual"
"Social","Tasa Global de Fecundidad","Anual"
"Social","Unidades Médicas","Anual"
"Gobierno","Confianza en el Gobierno Estatal","Anual"
"Económico","Crecimiento económico (porcentaje)","Anual"
"Económico","Cuartos de establecimientos de Hospedaje","Anual"
"Económico","Cuartos de Hospedaje según categoría 1 estrella","Anual"
"Económico","Cuartos de Hospedaje según categoría 2 estrellas","Anual"
"Económico","Cuartos de Hospedaje según categoría 3 estrellas","Anual"
"Económico","Cuartos de Hospedaje según categoría 4 estrellas","Anual"
"Económico","Cuartos de Hospedaje según categoría 5 estrellas","Anual"
"Económico","Cuartos de Hospedaje según categoría (sin categoría)","Anual"
,,
"Género","Delitos sexuales #Con Lupa de Género","Anual"
"Género","Desigualdad en trabajo no remunerado (TNR) #Con Lupa de Género","Anual"
"Económico","Desigualdad laboral (coeficiente de Gini)","Anual"
"Económico","Deuda Pública (Porcentaje del PIB)","Anual"
"Social","Eficiencia Terminal Primaria","Anual"
