"Tema","Indicador","Temporalidad"
"Económico","Trabajadores Asegurados Permanentes por el IMSS","Mensual"
"Seguridad","Aborto","Semestral"
"Seguridad","Abuso de confianza","Semestral"
"Seguridad","Abuso sexual","Semestral"
"Seguridad","Acoso sexual","Semestral"
"Seguridad","Allanamiento de morada","Semestral"
"Seguridad","Amenazas","Semestral"
"Seguridad","Contra el medio ambiente","Semestral"
"Seguridad","Corrupción de menores","Semestral"
"Seguridad","Daño a la propiedad","Semestral"
"Seguridad","Delitos cometidos por servidores públicos","Semestral"
"Seguridad","Despojo","Semestral"
"Seguridad","Electorales","Semestral"
"Seguridad","Evasión de presos","Semestral"
"Seguridad","Extorsión","Semestral"
"Seguridad","Falsedad","Semestral"
"Seguridad","Falsificación","Semestral"
"Seguridad","Feminicidio","Semestral"
"Seguridad","Fraude","Semestral"
"Seguridad","Homicidio","Semestral"
"Seguridad","Hostigamiento sexual","Semestral"
"Seguridad","Incesto","Semestral"
"Seguridad","Incumplimiento de obligaciones de asistencia familiar","Semestral"
"Seguridad","Lesiones","Semestral"
"Seguridad","Narcomenudeo","Semestral"
"Seguridad","Otros delitos contra el patrimonio","Semestral"
"Seguridad","Otros delitos contra la familia","Semestral"
"Seguridad","Otros delitos contra la sociedad","Semestral"
"Seguridad","Otros delitos del Fuero Común","Semestral"
"Seguridad","Otros delitos que atentan contra la libertad personal","Semestral"
"Seguridad","Otros delitos que atentan contra la libertad y la seguridad sexual","Semestral"
"Seguridad","Otros delitos que atentan contra la vida y la integridad corporal","Semestral"
"Seguridad","Rapto","Semestral"
"Seguridad","Robo","Semestral"
"Seguridad","Secuestro","Semestral"
"Seguridad","Trata de personas","Semestral"
"Seguridad","Tráfico de menores","Semestral"
"Seguridad","Violación equiparada","Semestral"
"Seguridad","Violación simple","Semestral"
"Seguridad","Violencia de género en todas sus modalidades distinta a la violencia familiar","Semestral"
"Seguridad","Violencia familiar","Semestral"
