"Tema","Entidad","Indicador","link.de.consulta","2015_S1","2015_S2","2016_S1","2016_S2","2017_S1","2017_S2","2018_S1","2018_S2","2019_S1","2019_S2","2020_S1","2020_S2","2021_S1","2021_S2","2022_S1","2022_S2","2023_S1","2023_S2","2024_S1","2024_S2","2025_S1","2025_S2"
"Seguridad","Aguascalientes","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",4,1,4,3,2,2,4,3,4,6,3,2,6,8,4,9,8,2,3,4,6,0
"Seguridad","Baja California","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",32,21,17,26,40,33,32,31,29,28,19,20,13,21,20,22,12,26,19,22,31,0
"Seguridad","Baja California Sur","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",1,2,1,2,8,6,8,8,6,6,6,4,7,7,2,1,4,4,3,7,5,0
"Seguridad","Campeche","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",0,1,1,0,2,0,0,1,0,0,0,0,0,1,2,3,3,0,0,0,0,0
"Seguridad","Chiapas","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",5,15,9,13,3,8,7,8,5,6,6,4,5,4,3,0,0,0,2,4,2,0
"Seguridad","Chihuahua","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",6,2,4,9,5,8,6,4,3,5,6,3,3,3,2,7,3,8,4,3,4,0
"Seguridad","Ciudad de México","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",72,59,66,49,41,43,50,60,72,60,47,32,44,58,95,97,101,80,87,99,115,0
"Seguridad","Coahuila de Zaragoza","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",2,1,1,1,0,3,6,3,1,1,0,2,2,2,1,1,2,0,0,0,2,0
"Seguridad","Colima","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",0,0,0,0,3,2,0,0,3,1,1,3,0,0,2,3,1,0,2,0,2,0
"Seguridad","Durango","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",2,0,3,2,1,0,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Seguridad","Guanajuato","Aborto","Datos abiertos de incidencia delictiva. Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ",11,11,19,8,14,14,12,18,8,16,13,18,14,9,14,10,5,13,11,11,11,0
