"Tema","Entidad","Indicador","link.de.consulta","2024_1t","2024_2t","2024_3t","2024_4t","2025_1t","2025_2t","2025_3t","2025_4t"
"Económico","Aguascalientes","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0195","0.007","-0.015","-0.0126","0.0091",NA,NA,NA
"Económico","Baja California","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0052","0.0315","0.0153","-0.0111","0.0123",NA,NA,NA
"Económico","Baja California Sur","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0353","0.0477","0.0289","0.0347","0.039",NA,NA,NA
"Económico","Campeche","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0613","-0.0835","-0.118","-0.1534","-0.1676",NA,NA,NA
"Económico","Coahuila de Zaragoza","Crecimiento Economico","https://mexicocomovamos.mx/datos/","-0.0356","0.028","0.0075","-5e-04","0.0067",NA,NA,NA
"Económico","Colima","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0251","0.0577","0.0307","0.0279","0.0255",NA,NA,NA
"Económico","Chiapas","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0175","0.032","0.0291","0.0148","3e-04",NA,NA,NA
"Económico","Chihuahua","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.006","0.0028","0.0032","1e-04","-0.0128",NA,NA,NA
"Económico","Ciudad de México","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0262","-4e-04","0.012","0.0358","0.0146",NA,NA,NA
"Económico","Durango","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0471","0.0803","0.048","0.0054","-0.0043",NA,NA,NA
"Económico","Guanajuato","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0351","0.0369","0.0537","0.0335","0.0217",NA,NA,NA
"Económico","Guerrero","Crecimiento Economico","https://mexicocomovamos.mx/datos/","-0.0243","0.0267","0.0116","0.102","0.0801",NA,NA,NA
"Económico","Hidalgo","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0295","0.0107","0.0259","0.0088","0.0055",NA,NA,NA
"Económico","Jalisco","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0136","0.0122","7e-04","-0.0159","0.0063",NA,NA,NA
"Económico","México","Crecimiento Economico","https://mexicocomovamos.mx/datos/","0.0356","0.0059","0.0252","0.0121","0.0059",NA,NA,NA
