"Tema","Entidad","Indicador","link.de.consulta","2010","2015","2020"
"Social","Aguascalientes","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",9.23,9.73,10.35
"Social","Baja California","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",9.26,9.76,10.2
"Social","Baja California Sur","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",9.4,9.91,10.34
"Social","Campeche","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",8.51,9.14,9.63
"Social","Coahuila de Zaragoza","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",9.47,9.9,10.43
"Social","Colima","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",8.95,9.53,10.05
"Social","Chiapas","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",6.67,7.29,7.78
"Social","Chihuahua","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",8.82,9.47,10
"Social","Ciudad de México","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",10.54,11.12,11.48
"Social","Durango","Grado promedio de escolaridad (años)","https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Educacion_Educacion_05_2f6d2a08-babc-442f-b4e0-25f7d324dfe0&idrt=15&opc=t",8.58,9.15,9.75
