"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Aguascalientes","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1.4578236751e+17,1.5102483871e+17,1.7388077914e+17,NA
"Económico","Baja California","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,36271997,36478032,40902165,NA
"Económico","Baja California Sur","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,31558595,32926883,35988779,NA
"Económico","Campeche","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,852559797,878718647,976346154,NA
"Económico","Coahuila de Zaragoza","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,312079806,2844282514,3268356032,NA
"Económico","Colima","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,440321631,479582898,544306042,NA
"Económico","Chiapas","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,7919692526,8797756274,1.0016504116e+17,NA
"Económico","Chihuahua","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,105877089,106089872,117252596,NA
"Económico","Ciudad de México","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2201208,2144983,2365898,NA
"Económico","Durango","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9265770382,9570933947,1.0536211276e+17,NA
"Económico","Guanajuato","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,8100516978,7992574847,8780850512,NA
"Económico","Guerrero","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,504658397,501439141,52384041,NA
"Económico","Hidalgo","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3240727673,3334169729,3679621972,NA
"Económico","Jalisco","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1.3954305279e+17,1.5168048738e+17,1.6684938275e+17,NA
"Económico","México","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4301158494,4668837469,524746453,NA
"Económico","Michoacán de Ocampo","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2164930061,2258756731,2532447813,NA
"Económico","Morelos","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,237205183,255824147,2999502078,NA
"Económico","Nayarit","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1423934665,1324521574,149474189,NA
"Económico","Nuevo León","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2343596107,2664776387,3048891803,NA
"Económico","Oaxaca","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,425003841,457455049,503976994,NA
"Económico","Puebla","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6788919902,6482940168,7371690536,NA
"Económico","Querétaro","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1.3199619617e+17,1.4236738322e+17,1.6052153384e+17,NA
"Económico","Quintana Roo","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,285976693,314687131,325452793,NA
"Económico","San Luis Potosí","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3684167471,3886022374,419367291,NA
"Económico","Sinaloa","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4793522611,5175765619,5762252169,NA
"Económico","Sonora","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1429555961,147222439,1678449978,NA
"Económico","Tabasco","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,915220046,940274493,999042879,NA
"Económico","Tamaulipas","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,13358315,1400157,15446001,NA
"Económico","Tlaxcala","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2949503,32817133,35687826,NA
"Económico","Veracruz de Ignacio de la Llave","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1.7012095528e+17,1.8625609135e+17,2.1430251265e+17,NA
"Económico","Yucatán","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6461362609,704954723,8022069322,NA
"Económico","Zacatecas","Aves. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,112598977,121354652,131667428,NA
