"Tema","Entidad","Indicador","link.de.consulta","2016","2018","2020","2021","2022","2023","2024","2025"
"Gobierno","Aguascalientes","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,47.1,NA,57.6,NA,49.7328537026124
"Gobierno","Baja California","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,37,NA,39.7,NA,27.6166030211792
"Gobierno","Baja California Sur","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,37.9,NA,49.8,NA,29.802186257695
"Gobierno","Campeche","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,58.2,NA,47.5,NA,45.33598985691
"Gobierno","Coahuila de Zaragoza","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,58.8,NA,58.5,NA,59.3426024141618
"Gobierno","Colima","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,42.9,NA,49.7,NA,37.8555514757647
"Gobierno","Chiapas","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,52,NA,38.5,NA,48.1480351593037
"Gobierno","Chihuahua","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,43.1,NA,44.7,NA,41.4985438817338
"Gobierno","Ciudad de México","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,48.2,NA,45.5,NA,39.6646070572469
"Gobierno","Durango","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,49.4,NA,54.6,NA,42.6224467272048
"Gobierno","Guanajuato","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,50.7,NA,46.7,NA,43.5721830847787
"Gobierno","Guerrero","Confianza en el Gobierno Estatal","https://www.inegi.org.mx/programas/encig/2023/#tabulados",NA,NA,NA,52.8,NA,58.3,NA,34.5499547501445
