"Tema","Entidad","Indicador","link.de.consulta","2025_1","2025_2","2025_3","2025_4","2025_5","2025_6","2025_7","2025_8","2025_9","2025_10","2025_11","2025_12","2026_1","2026_2","2026_3","2026_4","2026_5","2026_6"
"Económico","Aguascalientes","Empleos formales generados","https://mexicocomovamos.mx/datos/",2522,4571,5843,5451,6515,4555,5834,4548,6751,9583,8403,1900,"1626","3353","3569","4180","1557","1847"
"Económico","Baja California","Empleos formales generados","https://mexicocomovamos.mx/datos/",9436,14000,16531,12678,13283,7608,5880,11855,11328,13690,9739,-13399,"4303","19999","54653","36120","32774","76048"
"Económico","Baja California Sur","Empleos formales generados","https://mexicocomovamos.mx/datos/",238,2084,2956,3561,7140,9882,9321,7159,8723,12104,13042,2470,"2509","3784","6530","6172","7477","7685"
"Económico","Campeche","Empleos formales generados","https://mexicocomovamos.mx/datos/",-4496,-5440,-837,-1930,-7349,-3123,4255,1117,7163,-9166,-7363,-11275,"1356","1955","3601","3532","5544","4849"
"Económico","Coahuila de Zaragoza","Empleos formales generados","https://mexicocomovamos.mx/datos/",4454,3802,6764,4227,2318,-2121,-3813,-2385,-3493,-2510,-4952,-22687,"11467","2211","5428","17884","8255","9732"
"Económico","Colima","Empleos formales generados","https://mexicocomovamos.mx/datos/",1251,2637,4416,3531,3395,2156,1594,2741,3983,3431,3920,2239,"1832","1797","3275","4993","2482","2286"
"Económico","Chiapas","Empleos formales generados","https://mexicocomovamos.mx/datos/",-1552,3303,-910,-1880,-928,-1270,-4419,-4637,-4471,401,-2728,-2854,"-2462","-2039","971","-371","-800","1803"
"Económico","Chihuahua","Empleos formales generados","https://mexicocomovamos.mx/datos/",5966,6776,4877,4791,3758,4491,3263,4626,6316,8232,7598,-10886,"3421","6322","8353","8406","8519","5968"
"Económico","Ciudad de México","Empleos formales generados","https://mexicocomovamos.mx/datos/",-16965,-758,-12820,-8031,1726,-15274,78613,76310,69064,185118,217942,196226,"-54763","29244","-38593","-62297","-100987","-231"
"Económico","Durango","Empleos formales generados","https://mexicocomovamos.mx/datos/",993,2780,3558,5227,2240,2495,1589,1285,2593,5226,4802,703,"2590","4482","6308","8449","9377","11562"
"Económico","Guanajuato","Empleos formales generados","https://mexicocomovamos.mx/datos/",5637,11860,14848,15311,12726,13710,13621,14141,16559,22055,20282,754,"4735","10586","16176","20806","18181","19902"
"Económico","Guerrero","Empleos formales generados","https://mexicocomovamos.mx/datos/",-1886,3602,9345,-2576,-3232,1854,-3072,-3805,-2681,-297,1450,-795,"-3099","-2946","-1381","-2904","-3070","-3246"
"Económico","Hidalgo","Empleos formales generados","https://mexicocomovamos.mx/datos/",2949,2217,2106,3536,8464,1715,5966,4057,13891,14025,14506,4873,"7314","4873","5043","5743","59243","10796"
"Económico","Jalisco","Empleos formales generados","https://mexicocomovamos.mx/datos/",10459,25591,28754,24862,18726,16846,13287,21377,30722,37900,48058,27794,"-3120","2304","7657","18921","24211","5585"
"Económico","México","Empleos formales generados","https://mexicocomovamos.mx/datos/",4354,13648,24875,30956,37022,42453,92336,94781,121528,149130,146129,129481,"-35565","-27674","-425","55637","59635","55675"
"Económico","Michoacán de Ocampo","Empleos formales generados","https://mexicocomovamos.mx/datos/",1137,-373,1633,3857,2819,-744,-220,-2628,5161,7560,4730,2088,"3681","4958","9193","1886","192","-1308"
"Económico","Morelos","Empleos formales generados","https://mexicocomovamos.mx/datos/",-741,269,588,-255,-764,-1188,-1729,-721,-315,684,914,-1112,"1335","4890","772","1646","-4349","-5178"
"Económico","Nayarit","Empleos formales generados","https://mexicocomovamos.mx/datos/",1752,4282,3905,482,-1367,-1257,-820,293,2913,4815,5483,-126,"3778","5092","3005","1903","-173","1267"
"Económico","Nuevo León","Empleos formales generados","https://mexicocomovamos.mx/datos/",14875,33040,35832,32834,26874,28202,31110,31462,45429,54522,62452,19389,"11718","28450","29506","38315","38579","40210"
"Económico","Oaxaca","Empleos formales generados","https://mexicocomovamos.mx/datos/",-2042,-1270,-984,-1655,-5480,-7442,-8958,-7701,-6926,-4768,-2137,-2984,"3506","3697","5575","8309","7151","7417"
"Económico","Puebla","Empleos formales generados","https://mexicocomovamos.mx/datos/",-4346,-1898,4075,-646,-614,-287,-344,-3066,-3524,1282,11350,-6209,"-3183","-841","3974","7625","6113","2821"
"Económico","Querétaro","Empleos formales generados","https://mexicocomovamos.mx/datos/",3604,8657,11386,10138,7826,8928,5878,10628,11840,18418,17164,4965,"5616","8531","14650","12153","11238","10822"
"Económico","Quintana Roo","Empleos formales generados","https://mexicocomovamos.mx/datos/",9516,13662,14864,16272,14612,15236,16222,9710,12607,23826,17894,4020,"4166","8425","11053","8163","11407","11584"
"Económico","San Luis Potosí","Empleos formales generados","https://mexicocomovamos.mx/datos/",6639,10224,12506,8345,3257,2889,1815,2511,5973,7741,6902,-527,"2829","5617","6493","7862","5829","2675"
"Económico","Sinaloa","Empleos formales generados","https://mexicocomovamos.mx/datos/",8171,9644,1076,-4667,-21079,-36068,-36308,-26214,-10674,-16676,-8028,-11452,"11493","6295","1177","-5847","-23546","-26787"
"Económico","Sonora","Empleos formales generados","https://mexicocomovamos.mx/datos/",12649,15677,18137,5962,7136,3026,-7923,-6885,-370,5476,-1755,-15854,"11154","22375","34665","19991","18317","16812"
"Económico","Tabasco","Empleos formales generados","https://mexicocomovamos.mx/datos/",-2101,-2109,-3197,-2590,-2492,-6699,-7943,-8576,-8497,-3498,-6735,-7928,"1679","3579","6094","6844","8195","7666"
"Económico","Tamaulipas","Empleos formales generados","https://mexicocomovamos.mx/datos/",3012,6180,7686,6539,4691,5882,4242,3727,-931,781,1888,-9131,"1599","2632","161","793","-1183","-1829"
"Económico","Tlaxcala","Empleos formales generados","https://mexicocomovamos.mx/datos/",-145,2001,2301,2081,1666,748,330,563,811,1671,4977,9286,"-9389","-9078","-6922","-7698","-8444","-8848"
"Económico","Veracruz de Ignacio de la Llave","Empleos formales generados","https://mexicocomovamos.mx/datos/",1803,4577,4221,3057,-7386,-8920,-16197,-11057,-7338,-1188,-683,-6747,"1371","17966","8045","5066","1497","-5039"
"Económico","Yucatán","Empleos formales generados","https://mexicocomovamos.mx/datos/",-2330,573,2705,1824,568,1617,-5882,-6118,-89,2919,4513,-2414,"74","222","-216","196","-397","550"
"Económico","Zacatecas","Empleos formales generados","https://mexicocomovamos.mx/datos/",-1646,-1257,-309,-2003,-2406,-2613,-2740,-2560,-743,-1693,-368,-1111,"-1675","3613","-786","-951","-1219","-468"
"Seguridad Pública","Aguascalientes","Incidencia delictiva","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",3375,3316,3651,3165,3316,3162,3196,3287,3389,3416,3104,2914,"3229","3051","3600","3334","3338",NA
"Seguridad Pública","Aguascalientes","Homicidios","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",22,18,19,15,22,20,17,18,24,15,11,19,"17","13","16","19","10",NA
"Seguridad Pública","Aguascalientes","Lesiones","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",310,378,419,371,420,366,337,348,381,405,379,343,"326","347","438","359","407",NA
"Seguridad Pública","Aguascalientes","Feminicidios","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",0,0,1,0,0,1,0,0,1,0,1,0,"0","0","0","0","1",NA
"Seguridad Pública","Aguascalientes","Secuestro","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",NA
"Seguridad Pública","Aguascalientes","Violacion","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",21,36,26,35,36,41,28,32,35,29,28,23,"28","27","26","27","39",NA
"Seguridad Pública","Aguascalientes","Robo a Casa Habitación","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",167,138,150,133,120,149,136,144,157,144,118,128,"151","103","133","145","118",NA
"Seguridad Pública","Aguascalientes","Robo de Vehículos","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",130,96,122,145,131,106,106,118,116,114,119,118,"101","111","107","86","89",NA
"Seguridad Pública","Aguascalientes","Robo a Negocio","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",141,148,187,181,165,144,159,199,193,203,179,146,"131","119","159","159","171",NA
"Seguridad Pública","Aguascalientes","Extorsión","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",14,19,4,6,10,11,4,0,3,0,0,0,"1","0","1","1","1",NA
"Seguridad Pública","Aguascalientes","Violencia familiar","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",233,237,246,239,253,209,225,219,257,221,194,186,"206","190","233","261","257",NA
"Seguridad Pública","Aguascalientes","Narcomenudeo","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",274,244,224,210,163,218,232,255,215,225,261,257,"389","303","312","243","252",NA
"Seguridad Pública","Baja California","Incidencia delictiva","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",6834,6719,7455,7525,7815,8059,8480,8039,7789,8115,7492,7614,"7089","6881","8238","7854","7854",NA
"Seguridad Pública","Baja California","Homicidios","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",207,168,171,140,151,179,165,158,174,154,139,166,"168","169","194","158","173",NA
"Seguridad Pública","Baja California","Lesiones","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",414,414,478,484,543,585,641,574,579,567,513,543,"452","481","634","570","582",NA
"Seguridad Pública","Baja California","Feminicidios","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",6,1,3,1,6,0,0,3,7,3,3,0,"0","2","2","1","0",NA
"Seguridad Pública","Baja California","Secuestro","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",2,0,1,0,0,0,0,0,0,0,0,1,"0","0","0","0","1",NA
"Seguridad Pública","Baja California","Violacion","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",56,65,69,74,69,73,76,74,72,69,54,53,"60","69","89","79","57",NA
"Seguridad Pública","Baja California","Robo a Casa Habitación","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",125,133,127,143,127,139,157,151,133,130,146,162,"137","115","144","124","131",NA
"Seguridad Pública","Baja California","Robo de Vehículos","www.gob.mx/sesnsp/documentos/historico-de-incidencia-delictiva-del-fuero-comun",831,700,827,658,685,614,647,660,617,629,683,723,"638","616","631","610","577",NA
