"Tema","Indicador","Temporalidad","En_razon","Sentido","Descripción","Fuente","Unidad_medida"
"Económico","Aves. Valor de la Producción (miles de pesos)","Anual","No","Más es mejor","Valor de la Producción de aves.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de pesos"
"Económico","Aves. Volumen de la Producción (toneladas)","Anual","No","Más es mejor","Producción de aves.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Toneladas"
"Económico","Cera. Valor de la Producción (miles de pesos)","Anual","No","Más es mejor","Valor de la producción de cera.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de pesos"
"Económico","Cera. Volumen de la Producción (toneladas)","Anual","No","Más es mejor","Producción de cera.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Toneladas"
"Económico","Crecimiento Economico","Trimestral","No","Más es mejor","Se refiere al incremento en la producción de bienes y servicios en una economía de un periodo a otro.","México ¿Cómo vamos?","Talvez porcentaje"
"Económico","Cuartos de Hospedaje según categoría (1 estrella)","Anual","No","Más es mejor","Cuartos de Hospedaje según categoría (1 estrella)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Número de cuartos"
"Económico","Cuartos de Hospedaje según categoría (2 estrellas)","Anual","No","Más es mejor","Cuartos de Hospedaje según categoría (2 estrellas)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Número de cuartos"
"Económico","Cuartos de Hospedaje según categoría (3 estrellas)","Anual","No","Más es mejor","Cuartos de Hospedaje según categoría (3 estrellas)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Número de cuartos"
"Económico","Cuartos de Hospedaje según categoría (4 estrellas)","Anual","No","Más es mejor","Cuartos de Hospedaje según categoría (4 estrellas)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Número de cuartos"
"Económico","Cuartos de Hospedaje según categoría (5 estrellas)","Anual","No","Más es mejor","Cuartos de Hospedaje según categoría (5 estrellas)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Número de cuartos"
