"Tema","Entidad","Indicador","link.de.consulta","2024_1t","2024_2t","2024_3t","2024_4t","2025_1t","2025_2t","2025_3t","2025_4t"
"Económico","Aguascalientes","Crecimiento Economico","https://mexicocomovamos.mx/datos/",0.43,-1.51,-3.72,-2.71,0.42,2.01,2.16,NA
"Económico","Baja California","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-0.78,1.59,0.45,-1.75,1.8,-0.98,-2.19,NA
"Económico","Baja California Sur","Crecimiento Economico","https://mexicocomovamos.mx/datos/",5.13,2.98,1.56,4.06,1.39,2.92,4.28,NA
"Económico","Campeche","Crecimiento Economico","https://mexicocomovamos.mx/datos/",6.96,-8.93,-11.17,-13.97,-17.84,-13.61,-11.73,NA
"Económico","Coahuila de Zaragoza","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-3.81,1.01,-0.31,0.33,0.25,-0.67,-2.99,NA
"Económico","Colima","Crecimiento Economico","https://mexicocomovamos.mx/datos/",2.3,4.28,1.38,2.13,2.18,1.15,3.79,NA
"Económico","Chiapas","Crecimiento Economico","https://mexicocomovamos.mx/datos/",2.84,3.54,2.16,1.69,2.42,3.3,2.6,NA
"Económico","Chihuahua","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-0.34,-1.57,-1.29,-1.33,-2.07,-0.12,-0.11,NA
"Económico","Ciudad de México","Crecimiento Economico","https://mexicocomovamos.mx/datos/",4.07,1.84,1.18,1.45,0.17,1.57,1.54,NA
"Económico","Durango","Crecimiento Economico","https://mexicocomovamos.mx/datos/",4.32,6.81,4.7,1.25,-0.36,-4.06,-3.79,NA
"Económico","Guanajuato","Crecimiento Economico","https://mexicocomovamos.mx/datos/",3.41,3.55,5.33,3.58,2.2,4.84,0.38,NA
"Económico","Guerrero","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-3.87,-0.57,-1.98,9.62,6.14,2.51,3.41,NA
"Económico","Hidalgo","Crecimiento Economico","https://mexicocomovamos.mx/datos/",3.74,1.33,3.31,1.84,1.07,7,0.48,NA
"Económico","Jalisco","Crecimiento Economico","https://mexicocomovamos.mx/datos/",1.88,1.27,0.79,-1.36,1.06,1.31,1.51,NA
"Económico","México","Crecimiento Economico","https://mexicocomovamos.mx/datos/",2,0.3,3.47,2.83,2.35,1.45,-0.26,NA
"Económico","Michoacán de Ocampo","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-0.52,1.33,3.03,-0.81,0.97,3.36,1.57,NA
"Económico","Morelos","Crecimiento Economico","https://mexicocomovamos.mx/datos/",0.15,2.37,0.97,0.89,1.92,0.44,0.84,NA
"Económico","Nayarit","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-2.5,-0.99,-2.14,0.73,4.56,0.7,-0.17,NA
"Económico","Nuevo León","Crecimiento Economico","https://mexicocomovamos.mx/datos/",2.81,2.38,5.41,3.14,1.62,4.26,-1.44,NA
"Económico","Oaxaca","Crecimiento Economico","https://mexicocomovamos.mx/datos/",2.24,7.79,6.75,5.74,4.76,-3.49,-5.41,NA
"Económico","Puebla","Crecimiento Economico","https://mexicocomovamos.mx/datos/",3.79,4.31,5.19,1.25,-0.45,0.07,-1.28,NA
"Económico","Querétaro","Crecimiento Economico","https://mexicocomovamos.mx/datos/",3.44,2.88,1.23,-1.84,0.3,1.67,-0.27,NA
"Económico","Quintana Roo","Crecimiento Economico","https://mexicocomovamos.mx/datos/",18.73,3.59,-14.61,-16.54,-12.69,-8.73,-7.27,NA
"Económico","San Luis Potosí","Crecimiento Economico","https://mexicocomovamos.mx/datos/",3.25,2.35,-1.92,0.14,1.44,2.58,3.53,NA
"Económico","Sinaloa","Crecimiento Economico","https://mexicocomovamos.mx/datos/",1.54,-0.96,-0.18,-3.3,0.24,-0.72,-0.78,NA
"Económico","Sonora","Crecimiento Economico","https://mexicocomovamos.mx/datos/",0.63,-0.05,-2.95,-1.92,-0.31,-0.52,0.71,NA
"Económico","Tabasco","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-3.36,-9.35,-5.86,-9.22,-11.9,-6.09,-4.73,NA
"Económico","Tamaulipas","Crecimiento Economico","https://mexicocomovamos.mx/datos/",0.17,1.41,2.28,4.18,1.57,3.25,3.08,NA
"Económico","Tlaxcala","Crecimiento Economico","https://mexicocomovamos.mx/datos/",1.76,3.28,1.57,-0.31,2.14,-0.95,2.56,NA
"Económico","Veracruz de Ignacio de la Llave","Crecimiento Economico","https://mexicocomovamos.mx/datos/",3.51,2.69,4.75,1.93,-0.35,-2.12,-1,NA
"Económico","Yucatán","Crecimiento Economico","https://mexicocomovamos.mx/datos/",4.84,4.45,2.4,2.68,2.15,1.69,2.32,NA
"Económico","Zacatecas","Crecimiento Economico","https://mexicocomovamos.mx/datos/",-0.23,2.24,8.26,9.29,0.54,1.34,2.25,NA
"Económico","Aguascalientes","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.329552846346473,0.295682992717161,0.336540826736609,0.341264565575557,0.338591174313706,0.311,0.319,NA
"Económico","Baja California","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.303267283525201,0.280088076794982,0.282262449141854,0.273756146963933,0.267537939153726,0.269,0.244,NA
"Económico","Baja California Sur","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.359528590579544,0.35090168119018,0.360005710183941,0.367806897462742,0.35215342948436,0.339,0.344,NA
"Económico","Campeche","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.409741328241353,0.42207218688668,0.405354295347024,0.393500989535596,0.401401304929095,0.393,0.391,NA
"Económico","Coahuila de Zaragoza","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.325333534430229,0.329222936357837,0.324608001659271,0.332811469365197,0.313482162868695,0.328,0.321,NA
"Económico","Colima","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.353201135796894,0.33578401910961,0.34045693100029,0.332979913584609,0.33636417258424,0.326,0.333,NA
"Económico","Chiapas","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.426202357628881,0.41824556792335,0.424588989735184,0.422549073420669,0.399387151664541,0.408,0.427,NA
"Económico","Chihuahua","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.325415166414814,0.328442018074838,0.310851755565636,0.316982319149247,0.314449426826059,0.306,0.283,NA
"Económico","Ciudad de México","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.41697087359114,0.44617304963765,0.440373491164792,0.418911326129205,0.422550920821777,0.415,0.39,NA
"Económico","Durango","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.344894609372204,0.328037909531304,0.330115112295516,0.328484090547818,0.325995060328978,0.332,0.334,NA
"Económico","Guanajuato","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.323971843428808,0.324198172692604,0.32904931974781,0.312932030332604,0.309252347647089,0.321,0.324,NA
"Económico","Guerrero","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.395317242803912,0.371796541791582,0.356831609538858,0.388959499314296,0.381886085678843,0.365,0.362,NA
"Económico","Hidalgo","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.404024980826421,0.395627273673426,0.412463896819531,0.386623724632045,0.386884336223829,0.398,0.363,NA
"Económico","Jalisco","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.297019111983673,0.29244461438384,0.304065398686589,0.29642238966585,0.307287383575613,0.301,0.298,NA
"Económico","México","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.353959500220753,0.349896210144834,0.349918098353783,0.333717085251692,0.321002266513005,0.32,0.301,NA
"Económico","Michoacán de Ocampo","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.364388211054575,0.356642420504613,0.349038073180736,0.362107977980713,0.332270447591782,0.336,0.337,NA
"Económico","Morelos","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.309417212013273,0.306093472757993,0.324248733438822,0.320050580888392,0.316374491472629,0.312,0.297,NA
"Económico","Nayarit","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.357792348296471,0.343175112913968,0.36596135488071,0.355380261105438,0.355029480484518,0.348,0.344,NA
"Económico","Nuevo León","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.357620433924922,0.351799987240383,0.35268150617685,0.332087442740431,0.352719693087693,0.346,0.345,NA
"Económico","Oaxaca","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.400786280354623,0.402855871256634,0.404878719362159,0.416063855332823,0.403111365720406,0.392,0.4,NA
"Económico","Puebla","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.372762658756983,0.367745049253017,0.371648576962571,0.36975618647034,0.371930267028347,0.35,0.35,NA
"Económico","Querétaro","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.344576168399612,0.3386192071182,0.346177720977266,0.339565064907333,0.326244894703791,0.332,0.312,NA
"Económico","Quintana Roo","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.332525556371593,0.336243950592461,0.32368658751966,0.344129013230258,0.327862954427474,0.33,0.325,NA
"Económico","San Luis Potosí","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.365390427319426,0.355186934431231,0.360541420216805,0.383970650884862,0.359471938151501,0.345,0.339,NA
